"state","city","pop","aland_sqmi","density","n","pred","times"
"TX","Mesquite",140937,0.05,2982.6816573,15,0.27843867005637,53.8718274906401
"SC","Pawleys Island",108,0.701,153.99196455,38,0.886462325841832,42.8670219728889
"AZ","Cottonwood",12253,0.143,733.66168153,22,0.583811447280268,37.6833994990827
"AZ","Gila Bend",2100,64.366,32.626063895,23,0.646440101915585,35.5794758583889
"SC","Myrtle Beach",34695,23.504,1472.5428575,245,8.65478363374271,28.3080444720547
"SC","North Myrtle Beach",16819,21.162,785.74341208,125,5.39320902435807,23.1772956389129
"WA","Harrington",418,0.39,1071.306275,15,0.936179494270474,16.0225684196265
"NC","Ocean Isle Beach",665,3.742,179.07918137,21,1.34749116566424,15.5845177579684
"GA","Cumming",6547,7.19,978.828223,55,3.72832150678964,14.7519466601364
"MD","Bel Air",10119,0.687,3332.1634402,22,1.50406378081103,14.6270392789706
"AZ","Sedona",10339,18.262,543.22931162,58,3.98420022007256,14.5575013293242
"WV","Hedgesville",297,0.131,2259.4668053,7,0.5231212576443,13.3812187857212
"FL","Naples",22088,12.304,1796.4798776,90,6.87616848226078,13.0886845242642
"FL","Bunnell",2943,139.784,21.247470476,5,0.430037963051139,11.6268804840502
"MD","Ocean City",6944,4.531,1532.6066253,39,3.64867118677471,10.6888228627898
"NY","Liverpool",2204,0.751,2911.6232943,16,1.55450860807761,10.2926416211915
"CA","Mountain View",82739,0.287,6900.3454965,9,0.88179275090204,10.2064799135549
"PA","Langhorne",1580,0.492,3211.5386137,12,1.20416857862524,9.96538210098453
"AZ","Buckeye",79620,392.981,202.53681011,45,4.57721788660953,9.83129951747451
"WA","Davenport",1744,1.667,1046.248677,17,1.89396351742796,8.97588567233141
"NC","Oak Island",8386,19.27,449.6556189,32,3.59856770862071,8.89242681840917
"FL","Orlando",287442,110.623,2599.8991874,289,33.0873686156296,8.73445100325942
"FL","Vero Beach",17503,11.447,1529.1223497,51,6.01703073043337,8.47594142108142
"NY","Lake George",874,0.586,1491.3692824,10,1.20126308122005,8.32457115875368
"WA","Snohomish",10154,3.521,2883.5715978,34,4.11715538781304,8.25812892577276
"CO","Hooper",100,0.252,396.79194524,6,0.733703223424206,8.17769338943053
"NM","Taos",5929,6.016,986.99179801,28,3.43814934087059,8.14391616651242
"ME","Ellsworth",8180,79.287,103.1691156,14,1.72137610045723,8.13302798631939
"OR","Lincoln City",9170,6.05,1514.975168,34,4.24276784200789,8.01363667918948
"FL","Sarasota",58285,14.695,3959.3623079,96,12.3213559284529,7.79135028299229
"PA","Apollo",1523,0.305,4988.6767868,7,0.90632524227053,7.72349668035679
"TX","Lago Vista",7556,0.441,527.56111848,7,0.919773784416893,7.61056698787928
"FL","Lake Buena Vista",27,3.028,8.9583612977,3,0.404167143932661,7.42267164720306
"FL","Panama City Beach",12583,19.323,651.92882594,34,4.58678547785618,7.4125986846656
"UT","Green River",935,27.138,34.453304555,5,0.676988097074073,7.38565422584221
"WA","Bremerton",41405,28.43,1453.9843534,69,9.49763270212353,7.26496824672664
"PA","West Chester",20029,1.846,10848.638506,30,4.15513802168526,7.21997677175413
"CA","Palm Springs",48518,94.547,513.17574703,52,7.2306162195105,7.19164154497475
"WI","Superior",705,1.242,567.62422074,10,1.40169672812544,7.13421084557534
"CA","Trinidad",355,0.485,732.13022256,7,0.993844608222103,7.04335460703697
"CA","Sonoma",11024,2.744,4018.0943134,28,3.97855815552154,7.0377254536649
"AZ","Benson",4880,41.638,117.19651131,12,1.71607257498817,6.99271124945443
"PA","Smithton",373,0.102,3650.1170301,3,0.429590594754062,6.98339311110264
"NM","Santa Fe",84683,52.233,1621.2489165,99,14.3242496106971,6.91135680336573
"DE","Bethany Beach",1245,1.148,1084.2297513,11,1.59357409581592,6.90272264645963
"NC","Emerald Isle",3695,4.923,750.55565477,19,2.7578473992968,6.88943122989497
"TX","Montgomery",1360,5.039,269.86819807,12,1.74347274828859,6.88281477974309
"FL","New Port Richey",16737,4.545,3680.8551908,37,5.39064520974512,6.86374238340005
"FL","Port Richey",2933,2.219,1321.1285166,16,2.35702027213306,6.78823181504515
"AZ","Cave Creek",5838,37.708,154.82132071,14,2.07627164697334,6.74285564724072
"WI","Superior",25977,1.242,708.81082093,10,1.4843847927256,6.73679766123055
"MN","Babbitt",1484,105.951,13.997179138,2,0.301984425666835,6.62285810131978
"NY","Orchard Park",3131,1.343,2330.8551256,14,2.1152275466702,6.6186732590727
"FL","Plantation",94580,2.197,4365.4893288,23,3.51881031361589,6.53630004180745
"AZ","Quartzsite",3763,36.297,103.67239869,10,1.53020147304465,6.53508716084486
"TX","Katy",21729,14.544,1494.2194028,44,6.75319214102723,6.51543730448445
"PA","Mechanicsburg",8990,2.411,3729.5185341,23,3.54938276761601,6.47999990585638
"MI","Lake Orion",3189,0.792,3949.6628379,11,1.70551083087138,6.44968053024903
"CT","Stonington",884,0.341,2592.234212,6,0.935138581748054,6.41616132315299
"OR","Nehalem",297,0.268,1106.8181453,5,0.779973307654411,6.41047578286537
"NV","Las Vegas",651319,141.825,4594.2855085,417,65.6968607485948,6.34733524933182
"UT","Salt Lake City",200567,110.338,1811.8334952,151,23.8708599936569,6.32570422850809
"NC","Carolina Beach",6399,2.452,2609.7275567,20,3.16194769280374,6.325215323934
"IN","Newburgh",3252,1.492,2191.0384388,14,2.21404873715801,6.32325737236057
"AZ","Tucson",548073,240.993,2302.6920053,298,47.3039538669059,6.29968481785796
"MD","Sykesville",3958,1.582,2511.6939681,15,2.38567612204999,6.28752572964959
"FL","Davenport",6005,3.74,1651.9194662,21,3.39295012091743,6.18930407215116
"OH","Batavia",1983,2.912,680.96327135,13,2.11053053557513,6.15958868202656
"GA","Dawsonville",3246,8.591,377.21754759,15,2.43785570906607,6.15294824226756
"CA","Mount Shasta",3274,3.766,869.31478958,16,2.60654827849517,6.13838620677197
"WA","Goldendale",3505,2.96,1184.0298011,16,2.62564993072056,6.09372933261103
"ID","Worley",262,0.194,1350.4339527,4,0.663778386581191,6.02610762999095
"MT","Poplar",840,0.278,3020.4444889,5,0.830084833599835,6.02348073065793
"WA","Kelso",12417,8.135,1526.3235303,30,4.99733584731211,6.0031986875839
"FL","Indialantic",2908,0.972,2992.051625,11,1.84135356406914,5.97386629849158
"WA","Vancouver",184463,48.738,3784.3296991,158,26.7757851286761,5.90085404557517
"OR","Seaside",6892,3.894,1769.7199695,21,3.57155038659908,5.87979945034366
"ID","Eden",427,0.312,1368.9832146,5,0.851760587183088,5.87019413111826
"WA","Olympia",52882,18.221,2899.8090323,68,11.6689196782834,5.82744605968555
"AZ","Lake Havasu City",55865,46.339,1205.5753247,62,10.6592882609876,5.81652343777178
"MT","Wolf Point",2730,0.859,3179.2139674,10,1.72332213256695,5.80274564518279
"PA","Philipsburg",2698,0.872,3092.5134047,10,1.73015959326519,5.77981363044539
"NY","Webster",5667,2.203,2572.707234,17,2.9453566057697,5.77179685702521
"FL","Melbourne Beach",3298,0.988,3339.4571675,11,1.90722457718978,5.76754312604762
"VT","Manchester",711,3.536,201.05157836,8,1.39398389725259,5.7389472114902
"DE","Hartly",76,0.057,1342.5576373,2,0.350150135909459,5.71183556677857
"WA","Everett",111475,33.191,3357.8913477,108,18.9709961965459,5.69290083035618
"WA","Gig Harbor",10717,5.902,1815.9685549,26,4.56768150998993,5.69216569568953
"PA","Bernville",945,0.425,2225.7696494,6,1.05411578501288,5.69197434030141
"MT","Bozeman",49831,20.599,2449.4621347,64,11.2814741004229,5.67301750022199
"WA","Leavenworth",2029,1.453,1444.4354004,11,1.93919736482114,5.67244995251662
"AZ","Parker",3207,21.977,145.92736797,10,1.7786004822729,5.62239811563576
"MD","Bel Air",10119,3.031,3332.1634402,22,3.96014517423134,5.55535189546938
"NY","Fishkill",2155,0.832,2590.8548243,9,1.62021356900629,5.554823248098
"NJ","Cape May",3422,2.473,1383.6336903,14,2.53508352335713,5.52250049002735
"FL","Brooksville",8564,11.226,765.51099095,22,4.0055622649563,5.49236250612622
"AZ","Maricopa",52127,42.456,1217.9837764,56,10.2768037948669,5.44916504370464
"MO","Holts Summit",4391,3.705,1184.6489792,16,2.94099652379029,5.44033284996187
"CO","Littleton",48065,12.629,3807.0164185,59,10.8660044098146,5.42977876455756
"NM","Tijeras",535,1.132,472.5689707,7,1.2915064441358,5.42002715649164
"IL","Wilmington",132,0.786,167.85190786,5,0.92349483373578,5.41421545345704
"AZ","Kingman",31013,37.547,825.97570744,39,7.2274141738477,5.39612080640417
"NC","Burnsville",1647,1.6,1044.9291859,10,1.85584549351696,5.3883796010676
"GA","Lawrenceville",30834,13.623,2265.2638199,45,8.37060493114609,5.37595554564522
"OR","Chiloquin",755,0.817,923.58979567,7,1.30600349988849,5.35986312486732
"NM","Albuquerque",560513,187.27,2993.9613573,280,52.5340060770633,5.32988098393375
"WA","Yakima",93637,27.805,3368.8612152,90,16.9373751465008,5.31369230601198
"NV","Boulder City",16207,208.265,77.819083386,8,1.51252058630822,5.28918420841233
"MO","Butler",3999,4.067,983.31928506,15,2.8465381486069,5.2695587471192
"CO","Morrison",424,1.645,195.62853493,6,1.14129682095419,5.25717752808918
"VA","Fredericksburg",29036,10.45,2778.3805955,42,8.01480830966271,5.24030000185587
"WA","Puyallup",42361,14.135,2996.8039404,53,10.1380274076948,5.22784145954991
"WA","Bellingham",92314,28.141,3334.2962653,88,16.9473683579164,5.1925466031954
"MI","Ypsilanti",20171,4.291,4771.5802088,30,5.80849257170808,5.16485122940908
"OR","Portland",654741,133.45,4907.3352321,345,66.9304158777383,5.15460714647599
"CA","Grass Valley",12817,5.249,2441.8841179,25,4.90456428269159,5.09729275814083
"MT","Kalispell",24565,12.426,2045.7573368,38,7.46293955331664,5.09182738631619
"PA","Easton",27189,4.263,6377.3973914,33,6.55826182215496,5.03182106705777
"UT","Garden City",617,8.778,70.451523336,5,0.996282161568235,5.01865856167651
"LA","Napoleonville",590,0.168,3501.8124903,3,0.599415637586628,5.00487443417162
"VA","Occoquan",1086,0.173,6277.3154853,3,0.602669119753802,4.97785584439026
"OR","Depoe Bay",1499,1.811,827.57979988,9,1.83279295195582,4.91053830733901
"MI","Brighton",7656,3.514,2178.5173967,18,3.66876459313702,4.90628372113919
"PA","Nazareth",5702,1.585,3596.9050425,13,2.65336775857083,4.89943392053656
"MO","Gainesville",723,2.871,251.78693271,7,1.44046292833066,4.85954887302252
"WA","Shelton",10655,5.816,1833.8612682,22,4.55124522058451,4.8338419341805
"NC","Bunn",385,0.54,713.50399597,5,1.03772266179742,4.81824304707735
"OH","Bloomingdale",188,0.088,2127.6069511,2,0.415577238713198,4.81258311016465
"WA","Spokane",222081,68.76,3229.8362251,142,29.5595444927096,4.8038629294515
"MT","Stevensville",2072,1.295,1600.0240717,9,1.87378316088731,4.8031171310869
"WI","Mukwonago",8057,8.029,992.11761925,19,3.9577978402933,4.80064944362898
"WA","Wenatchee",34360,10.576,3399.2834995,43,9.04869248927923,4.75206777674739
"NY","New Paltz",7101,1.762,4030.6551915,14,2.94794410585795,4.74907240343539
"AZ","Cottonwood",12253,16.597,733.66168153,22,4.63547366138573,4.74600906122359
"CO","Crestone",140,0.385,363.94820389,4,0.843646985883744,4.74131961226636
"DE","Rehoboth Beach",1546,1.175,1315.239846,8,1.69167051007006,4.72905329517666
"WA","Seattle",753675,83.83,8987.127993,383,81.0653756381821,4.72458182035001
"FL","Shalimar",836,0.288,2898.1795851,4,0.847300040310695,4.72087785872552
"WA","Auburn",81464,29.577,2754.8490652,72,15.283481036288,4.71096864837587
"WA","Arlington",20523,9.814,2111.5675739,31,6.61956055846542,4.68309032392727
"WA","Twisp",963,1.169,823.44131174,7,1.50122519951224,4.66285804573115
"FL","Dunnellon",1840,8.816,292.65616794,10,2.14532846025434,4.66129088634495
"FL","Destin",14247,7.707,1852.9966093,25,5.36748556937978,4.65767437599069
"FL","Pensacola",52975,22.671,2340.2329102,54,11.5969015756881,4.65641616836744
"GA","Marietta",60867,23.433,2600.4813977,59,12.7067365557444,4.64320636074944
"WV","Fayetteville",2720,5.574,488.03599379,11,2.37619675180346,4.62924629101161
"WA","Sequim",7640,6.319,1209.0660405,18,3.88845704147365,4.62908547221042
"MO","West Alton",527,28.812,18.29071418,2,0.432449985329032,4.62481227390559
"WA","Stanwood",7287,2.931,2485.6565979,16,3.46525443286429,4.61726557457278
"ID","Clayton",8,0.064,530.83042554,2,0.433954157787082,4.60878174367277
"VA","Amherst",2180,4.902,444.69522263,10,2.17003975991203,4.60821049675394
